interaction_id,hcp_id,product_id,date,interaction_type,duration_minutes,outcome,samples_provided,rep_id,sentiment_score,topics_discussed
INT0001,HCP033,NBE004,2024-02-28,Office Visit,30,Sample Requested,0,REP019,0.74,"Efficacy,Safety"
INT0002,HCP020,NBE002,2024-10-15,Email,10,Neutral,0,REP018,0.84,Reimbursement
INT0003,HCP077,NBE002,2024-09-24,Virtual Meeting,33,Sample Requested,0,REP019,0.99,Patient Selection
INT0004,HCP073,NBE001,2024-11-08,Office Visit,53,Neutral,15,REP007,0.49,"Efficacy,Safety"
INT0005,HCP021,NBE002,2024-03-29,Conference,9,Neutral,0,REP014,0.62,Reimbursement
INT0006,HCP061,NBE003,2024-01-17,Phone Call,23,Needs Follow-up,15,REP015,0.35,"Dosing,Administration"
INT0007,HCP034,NBE002,2024-08-05,Office Visit,39,Neutral,15,REP005,0.94,"Dosing,Administration"
INT0008,HCP010,NBE001,2024-03-25,Email,43,Needs Follow-up,5,REP004,0.63,Patient Selection
INT0009,HCP090,NBE004,2024-05-19,Conference,39,Sample Requested,5,REP003,0.72,Clinical Trial Results
INT0010,HCP095,NBE003,2024-11-05,Email,6,Positive,0,REP022,0.89,Reimbursement
INT0011,HCP076,NBE001,2024-12-10,Email,41,Positive,0,REP016,0.66,Clinical Trial Results
INT0012,HCP036,NBE002,2024-10-26,Virtual Meeting,45,Sample Requested,0,REP016,0.54,Patient Selection
INT0013,HCP042,NBE001,2024-03-23,Email,31,Sample Requested,0,REP022,0.96,Reimbursement
INT0014,HCP005,NBE004,2024-02-15,Email,21,Needs Follow-up,0,REP025,0.58,Reimbursement
INT0015,HCP001,NBE004,2024-07-30,Office Visit,17,Needs Follow-up,10,REP025,0.65,Clinical Trial Results
INT0016,HCP098,NBE001,2024-04-14,Email,40,Neutral,0,REP015,0.92,Clinical Trial Results
INT0017,HCP016,NBE001,2024-11-18,Conference,56,Neutral,15,REP006,0.52,"Efficacy,Safety"
INT0018,HCP071,NBE004,2024-02-17,Phone Call,58,Positive,5,REP004,0.75,"Dosing,Administration"
INT0019,HCP064,NBE003,2024-09-17,Email,31,Sample Requested,5,REP008,0.62,"Dosing,Administration"
INT0020,HCP050,NBE002,2024-11-02,Conference,52,Neutral,0,REP009,0.84,Clinical Trial Results
INT0021,HCP044,NBE003,2024-01-02,Email,51,Needs Follow-up,10,REP019,1.0,Clinical Trial Results
INT0022,HCP020,NBE004,2024-10-02,Virtual Meeting,27,Needs Follow-up,10,REP025,0.68,Clinical Trial Results
INT0023,HCP042,NBE002,2024-12-23,Phone Call,41,Sample Requested,0,REP025,0.59,Patient Selection
INT0024,HCP096,NBE004,2024-12-27,Virtual Meeting,29,Neutral,5,REP002,0.39,Reimbursement
INT0025,HCP043,NBE001,2024-08-13,Office Visit,38,Sample Requested,0,REP024,0.4,"Dosing,Administration"
INT0026,HCP010,NBE004,2024-05-15,Email,44,Sample Requested,15,REP003,0.9,Reimbursement
INT0027,HCP049,NBE003,2024-11-16,Virtual Meeting,60,Positive,10,REP003,0.46,Patient Selection
INT0028,HCP030,NBE001,2024-08-10,Office Visit,53,Positive,5,REP006,0.79,"Efficacy,Safety"
INT0029,HCP006,NBE003,2024-01-29,Email,27,Needs Follow-up,5,REP005,0.47,Clinical Trial Results
INT0030,HCP073,NBE002,2024-03-28,Phone Call,10,Sample Requested,10,REP022,0.47,Reimbursement
INT0031,HCP019,NBE002,2024-08-24,Email,34,Needs Follow-up,15,REP001,0.93,Clinical Trial Results
INT0032,HCP037,NBE002,2024-02-07,Virtual Meeting,27,Needs Follow-up,15,REP014,0.78,Clinical Trial Results
INT0033,HCP039,NBE002,2024-07-15,Virtual Meeting,11,Neutral,5,REP019,0.55,Patient Selection
